      3.221     0.011     0.005     0.005
      1.160     4.948     2.180     2.767
      0.673     3.265     1.655     1.610
      0.922     3.329     1.889     1.440
      2.293    13.213     4.289     8.924
      0.903     5.260     2.411     2.849
      1.134     3.693     1.862     1.831
      1.227     1.058     0.587     0.471
      1.255     2.432     1.300     1.132
      1.872     2.112     0.932     1.180
      0.905     6.174     3.134     3.040
      1.478     0.043     0.021     0.022
      1.037     4.201     1.944     2.257
      1.174     1.451     0.821     0.630
      0.858     0.930     0.519     0.411
      1.087     3.974     2.477     1.497
      0.526     0.536     0.236     0.300
      1.233     1.556     0.930     0.627
      1.201     1.348     0.651     0.697
      1.548     0.048     0.023     0.025
      2.545     0.360     0.154     0.206
      1.012     1.623     1.012     0.612
      0.386     1.475     0.833     0.642
      3.221     0.011     0.005     0.005
      1.610     0.433     0.223     0.210
      0.583     3.071     1.321     1.750
      1.053     9.022     5.453     3.569
      0.523     1.623     0.644     0.979
      0.883     2.615     1.421     1.193
      1.603     3.416     2.113     1.303
      0.862     2.085     1.110     0.975
      0.233     3.239     1.803     1.436
      0.463     2.028     0.917     1.111
      0.385     4.911     2.596     2.314
      0.679     2.827     1.455     1.371
      0.465     2.437     0.915     1.522
      3.016     0.449     0.246     0.203
      0.618     0.637     0.362     0.275
      0.285     1.912     1.015     0.898
      3.689     0.005     0.003     0.002
      2.564     0.006     0.003     0.003
      4.933     0.003     0.001     0.001
      2.009     1.342     0.853     0.489
      4.933     0.003     0.001     0.001
      2.564     0.006     0.003     0.003
      0.957     3.444     1.229     2.215
      2.564     0.006     0.003     0.003
      2.564     0.006     0.003     0.003
      0.720     1.079     0.458     0.621
      2.564     0.006     0.003     0.003
      0.500     2.145     0.917     1.228
      1.973     0.252     0.116     0.136
      0.628     2.692     1.528     1.165
      2.449     0.010     0.005     0.005
      0.836     2.253     1.312     0.940
      0.803     3.331     2.108     1.223
      2.449     0.010     0.005     0.005
      2.135     1.233     0.860     0.373
      4.933     0.003     0.001     0.001
      4.933     0.003     0.001     0.001
      1.137     9.330     3.832     5.498
      1.577     0.580     0.326     0.253
      3.591     0.008     0.004     0.004
      1.622     0.406     0.169     0.237
      2.621     4.383     2.759     1.624
      4.933     0.003     0.001     0.001
      3.689     0.005     0.003     0.002
      1.212     0.396     0.214     0.182
      0.486     1.891     0.902     0.989
      0.525     2.223     1.156     1.068
      0.595     1.203     0.541     0.661
      0.644     1.266     0.670     0.597
      4.933     0.003     0.001     0.001
      0.560     2.797     1.718     1.080
      1.459     0.287     0.159     0.128
      1.747     3.517     2.645     0.872
      0.607     5.334     3.281     2.053
      0.388     4.966     2.461     2.505
      0.543     2.464     1.027     1.438
      3.689     0.005     0.003     0.002
      0.523     1.987     1.286     0.701
      3.016     0.449     0.246     0.203
      0.487     1.202     0.597     0.605
      1.421     7.005     3.954     3.051
      0.570     3.461     1.609     1.853
      0.586     3.426     1.384     2.042
      1.216     1.329     0.884     0.445
      0.283     2.445     1.307     1.138
      1.148     1.609     0.765     0.844
      0.692     3.939     1.851     2.088
      4.933     0.003     0.001     0.001
      1.050     4.291     1.992     2.298
      0.452     2.802     1.336     1.466
      0.771     1.122     0.524     0.597
      0.671     1.310     0.708     0.602
      0.423     2.773     1.299     1.474
      4.933     0.003     0.001     0.001
      0.337     1.633     0.746     0.887
      0.683     1.159     0.608     0.551
      0.457     1.535     0.796     0.738
      0.590     1.374     0.656     0.718
      4.933     0.003     0.001     0.001
      1.220     0.895     0.447     0.447
      4.933     0.003     0.001     0.001
      2.449     0.010     0.005     0.005
      1.741     0.259     0.128     0.131
      1.215     0.894     0.557     0.337
      1.273     0.784     0.244     0.540
      2.032     0.010     0.005     0.005
      0.785     3.120     1.926     1.194
      4.933     0.003     0.001     0.001
      2.261     1.015     0.416     0.599
      0.886     5.500     2.486     3.014
      0.564     1.803     0.948     0.854
      0.815     2.516     1.291     1.224
      0.747     3.639     1.640     1.999
      3.689     0.005     0.003     0.002
      0.632     0.752     0.359     0.392
      0.526     3.357     1.689     1.668
      0.358     1.303     0.688     0.615
      2.222     1.830     1.147     0.682
      0.628     2.686     1.003     1.683
      0.703     1.451     0.697     0.754
      1.225     2.694     1.466     1.227
      0.592     2.993     1.305     1.688
      0.402     1.400     0.731     0.669
      0.378     3.337     1.757     1.580
      0.491     1.718     0.868     0.850
      4.933     0.003     0.001     0.001
      0.886     1.987     1.128     0.859
