      3.221     0.102     0.052     0.050
      1.160     1.617     0.703     0.914
      0.673     1.213     0.522     0.690
      0.922     1.473     0.587     0.886
      2.293     3.185     1.193     1.991
      0.903     1.802     0.751     1.051
      1.134     1.267     0.563     0.704
      1.227     0.396     0.166     0.231
      1.255     0.975     0.417     0.558
      1.872     0.940     0.477     0.463
      0.905     2.390     0.899     1.491
      1.478     0.036     0.018     0.018
      1.037     1.454     0.665     0.789
      1.174     0.600     0.249     0.352
      0.858     0.908     0.416     0.492
      1.087     1.931     0.647     1.285
      0.526     0.719     0.333     0.385
      1.233     0.687     0.269     0.418
      1.201     0.746     0.328     0.418
      1.548     0.621     0.301     0.320
      2.545     1.022     0.593     0.429
      1.012     1.415     0.555     0.860
      0.386     2.317     1.178     1.139
      3.221     0.102     0.052     0.050
      1.610     0.074     0.035     0.039
      0.583     4.020     2.522     1.498
      1.053     4.521     1.500     3.022
      0.523     4.929     2.730     2.199
      0.883     1.115     0.447     0.668
      1.603     1.644     0.556     1.088
      0.862     1.346     0.640     0.706
      0.233     2.372     1.217     1.155
      0.463     3.748     2.296     1.452
      0.385     3.006     1.461     1.545
      0.679     4.898     1.961     2.938
      0.465     2.056     1.043     1.012
      3.016     0.119     0.055     0.064
      0.618     0.728     0.368     0.360
      0.285     1.666     0.808     0.858
      3.689     0.047     0.024     0.022
      2.564     0.055     0.028     0.027
      4.933     0.025     0.013     0.012
      2.009     0.946     0.433     0.513
      4.933     0.025     0.013     0.012
      2.564     0.055     0.028     0.027
      0.957     1.477     0.661     0.816
      2.564     0.055     0.028     0.027
      2.564     0.055     0.028     0.027
      0.720     0.255     0.123     0.133
      2.564     0.055     0.028     0.027
      0.500     1.700     0.908     0.792
      1.973     0.116     0.053     0.063
      0.628     2.139     0.956     1.183
      2.449     0.097     0.049     0.048
      0.836     1.473     0.635     0.838
      0.803     1.991     0.766     1.225
      2.449     0.097     0.049     0.048
      2.135     0.612     0.185     0.428
      4.933     0.025     0.013     0.012
      4.933     0.025     0.013     0.012
      1.137     2.892     1.106     1.786
      1.577     0.184     0.077     0.107
      3.591     0.074     0.038     0.036
      1.622     1.184     0.673     0.511
      2.621     2.145     0.705     1.440
      4.933     0.025     0.013     0.012
      3.689     0.047     0.024     0.022
      1.212     0.158     0.074     0.084
      0.486     1.225     0.621     0.605
      0.525     2.652     1.325     1.327
      0.595     0.597     0.295     0.302
      0.644     1.181     0.566     0.615
      4.933     0.025     0.013     0.012
      0.560     1.390     0.518     0.872
      1.459     0.387     0.206     0.181
      1.747     1.969     0.459     1.510
      0.607     3.047     1.165     1.882
      0.388     3.100     1.413     1.688
      0.543     5.168     2.989     2.178
      3.689     0.047     0.024     0.022
      0.523     1.247     0.419     0.828
      3.016     0.119     0.055     0.064
      0.487     1.597     0.915     0.682
      1.421     7.498     3.854     3.644
      0.570     1.157     0.530     0.627
      0.586     1.203     0.619     0.584
      1.216     0.873     0.392     0.481
      0.283     2.677     1.342     1.335
      1.148     0.540     0.268     0.272
      0.692     1.471     0.682     0.789
      4.933     0.025     0.013     0.012
      1.050     1.493     0.682     0.812
      0.452     2.486     1.384     1.102
      0.771     1.739     1.004     0.735
      0.671     2.933     1.390     1.543
      0.423     2.770     1.447     1.323
      4.933     0.025     0.013     0.012
      0.337     2.139     1.186     0.954
      0.683     1.073     0.576     0.497
      0.457     1.483     0.764     0.718
      0.590     1.751     0.985     0.765
      4.933     0.025     0.013     0.012
      1.220     0.270     0.131     0.139
      4.933     0.025     0.013     0.012
      2.449     0.097     0.049     0.048
      1.741     0.301     0.143     0.158
      1.215     0.367     0.133     0.234
      1.273     1.824     1.217     0.607
      2.032     0.095     0.048     0.047
      0.785     1.644     0.602     1.041
      4.933     0.025     0.013     0.012
      2.261     0.161     0.082     0.079
      0.886     3.434     1.551     1.883
      0.564     1.520     0.761     0.759
      0.815     0.991     0.431     0.561
      0.747     1.316     0.623     0.692
      3.689     0.047     0.024     0.022
      0.632     0.628     0.333     0.295
      0.526     2.863     1.523     1.340
      0.358     2.391     1.203     1.188
      2.222     1.270     0.546     0.725
      0.628     2.854     1.503     1.352
      0.703     1.241     0.583     0.657
      1.225     1.423     0.726     0.697
      0.592     1.113     0.500     0.613
      0.402     1.455     0.762     0.693
      0.378     3.874     2.050     1.825
      0.491     1.399     0.604     0.796
      4.933     0.025     0.013     0.012
      0.886     1.600     0.738     0.862
